CHR,Overlap_Start,Overlap_End,Invasive_Value,Non_Invasive_Value,Region_Type
4,69180001,69840000,-2,-2,Loss
6,28500001,28500001,-2,-2,Loss
6,28500001,28680000,-2,-2,Loss
6,28680000,28680001,-2,-2,Loss
6,28680001,31080000,-2,-2,Loss
6,31080000,31080001,-2,-2,Loss
6,31080001,31440000,-2,-2,Loss
6,31440000,31470001,-2,-2,Loss
6,31470001,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
6,33270001,33270001,-1,-2,Loss
6,33270001,33300000,-1,-2,Loss
6,33300000,33300000,-1,-2,Loss
6,33330001,33330001,-1,-1,Loss
6,33330001,33360000,-1,-1,Loss
6,33360000,33360000,-1,-1,Loss
6,33360000,33360000,-1,-1,Loss
6,33360000,33360001,-1,-1,Loss
6,33360001,33360001,-1,-1,Loss
6,33360001,33360001,-1,-1,Loss
6,33360001,33390000,-1,-1,Loss
6,33390000,33390000,-1,-1,Loss
6,33390000,33390000,-1,-1,Loss
6,33390000,33390001,-1,-1,Loss
6,33390001,33420000,-1,-1,Loss
6,33420000,33420000,-1,-1,Loss
6,33420000,33420000,-1,-1,Loss
6,33420000,33450000,-1,-1,Loss
17,1,32640001,-1,-2,Loss
17,32640001,43410000,-1,-2,Loss
17,43410000,43410001,-1,-2,Loss
17,43410001,43500000,-1,-2,Loss
17,43500000,43710001,-1,-2,Loss
17,43710001,81090000,-1,-2,Loss
19,10350001,10500001,1,1,Gain
19,10500001,15720000,1,1,Gain
19,15720000,15720001,1,1,Gain
19,15720001,16170000,1,1,Gain
19,16170000,21990000,1,1,Gain
19,21990000,22650001,1,1,Gain
19,22650001,24300000,1,1,Gain
