CHR,Overlap_Start,Overlap_End,Invasive_Value,Non_Invasive_Value,Region_Type
1,2280001,2520001,-1,-2,Loss
1,2520001,2520001,-1,-2,Loss
1,2520001,2520001,-1,-2,Loss
1,2520001,2550001,-1,-2,Loss
1,2550001,2700001,-1,-2,Loss
1,2700001,3210000,-1,-2,Loss
1,3210000,3990001,-1,-2,Loss
1,3990001,5970000,-1,-2,Loss
1,121320001,121320001,1,1,Gain
1,121320001,145740000,1,1,Gain
1,160950001,162690000,1,1,Gain
1,162690000,163380000,1,1,Gain
1,163380000,163380001,1,1,Gain
1,163380001,163590000,1,1,Gain
1,172320001,172650000,1,1,Gain
1,219840001,220380000,1,1,Gain
1,224580001,224760000,1,1,Gain
1,224760000,231870001,1,1,Gain
1,231870001,232860000,1,1,Gain
1,232860000,234480001,1,1,Gain
1,234480001,234480001,1,1,Gain
1,234480001,234480001,1,1,Gain
1,234480001,234540001,1,1,Gain
1,234540001,234570001,1,1,Gain
1,234570001,234570001,1,1,Gain
1,234570001,234570001,1,1,Gain
1,234570001,234600001,1,1,Gain
1,234600001,234630001,1,1,Gain
1,234630001,235140000,1,1,Gain
1,235140000,235200000,1,1,Gain
1,235200000,235500000,1,1,Gain
1,235500000,235500000,1,1,Gain
1,235500000,235500000,1,1,Gain
1,235500000,235530000,1,1,Gain
1,235530000,235680000,1,1,Gain
1,235680000,235740000,1,1,Gain
1,235740000,236790000,1,1,Gain
1,236790000,236790001,1,1,Gain
1,236790001,237090000,1,1,Gain
1,237090000,237090001,1,1,Gain
1,237090001,241680001,1,1,Gain
1,241680001,241920000,1,1,Gain
1,241920000,242580001,1,1,Gain
1,242580001,243030000,1,1,Gain
1,243030000,243030000,1,1,Gain
1,243030000,243030000,1,1,Gain
1,243030000,243390001,1,1,Gain
1,243390001,243570000,1,1,Gain
1,243570000,244020000,1,1,Gain
1,244020000,244020001,1,1,Gain
1,244020001,245250001,1,1,Gain
1,245250001,247230000,1,1,Gain
1,247230000,247230001,1,1,Gain
1,247230001,247260001,1,1,Gain
1,247260001,249210000,1,1,Gain
4,39480001,40740000,1,1,Gain
4,40740000,40740000,1,1,Gain
4,69180001,69840000,-2,-2,Loss
6,210001,1650001,-2,-2,Loss
6,1650001,1800000,-2,-2,Loss
6,1800000,5670000,-2,-2,Loss
6,5670000,5700001,-2,-2,Loss
6,5700001,6480000,-2,-2,Loss
6,6480000,17670001,-2,-2,Loss
6,17670001,18180000,-2,-2,Loss
6,18180000,18540001,-2,-2,Loss
6,18540001,20130000,-2,-2,Loss
6,20130000,20130001,-2,-2,Loss
6,20130001,23760000,-2,-2,Loss
6,23760000,23760001,-2,-2,Loss
6,23760001,24600000,-2,-2,Loss
6,24600000,26010001,-2,-2,Loss
6,26010001,26340000,-2,-2,Loss
6,26340000,27900001,-2,-2,Loss
6,27900001,28500000,-2,-2,Loss
6,28500000,28500000,-2,-2,Loss
6,28500000,28500000,-2,-2,Loss
6,28500000,28500001,-2,-2,Loss
6,28500001,28500001,-2,-2,Loss
6,28500001,28500001,-2,-2,Loss
6,28500001,28680000,-2,-2,Loss
6,28680000,28680001,-2,-2,Loss
6,28680001,31080000,-2,-2,Loss
6,31080001,31440000,-1,-2,Loss
6,31470001,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
6,33270000,33270001,-2,-2,Loss
6,33270001,33270001,-2,-2,Loss
6,33270001,33270001,-2,-2,Loss
6,33270001,33300000,-2,-2,Loss
6,33300000,33300000,-2,-2,Loss
6,33300000,33300000,-2,-2,Loss
6,33300000,33330001,-2,-2,Loss
6,33330001,33330001,-2,-2,Loss
6,33330001,33330001,-2,-2,Loss
6,33330001,33360000,-2,-2,Loss
6,33360000,33360000,-2,-2,Loss
6,33360000,33360000,-2,-2,Loss
6,33360000,33360001,-2,-2,Loss
6,33360001,33360001,-2,-2,Loss
6,33360001,33360001,-2,-2,Loss
6,33360001,33390000,-2,-2,Loss
6,33390000,33390000,-2,-2,Loss
8,180001,690000,-1,-1,Loss
8,690000,690001,-1,-1,Loss
8,690001,1620000,-1,-1,Loss
8,1620000,1620000,-1,-1,Loss
8,1620000,1620000,-1,-1,Loss
8,1620000,1650000,-1,-1,Loss
8,1650000,1650000,-1,-1,Loss
8,1650000,1650000,-1,-1,Loss
8,1650000,1650001,-1,-1,Loss
8,1650001,1650001,-1,-1,Loss
8,1650001,1650001,-1,-1,Loss
8,1650001,1680000,-1,-1,Loss
8,1680000,1680001,-1,-1,Loss
8,1680001,2040000,-1,-1,Loss
8,2040000,2400000,-1,-1,Loss
8,2400000,6270000,-1,-1,Loss
8,6270000,6780001,-1,-1,Loss
8,6780001,6810001,-1,-1,Loss
8,6810001,6930000,-1,-1,Loss
8,6930000,6930000,-1,-1,Loss
8,6930000,6930000,-1,-1,Loss
8,6930000,8100001,-1,-1,Loss
8,8100001,8100001,-1,-1,Loss
8,8100001,8100001,-1,-1,Loss
8,8100001,9000000,-1,-1,Loss
8,9000000,9030000,-1,-1,Loss
8,9030000,9720001,-1,-1,Loss
8,9720001,11640000,-1,-1,Loss
8,11640000,11850000,-1,-1,Loss
8,11850000,12570001,-1,-1,Loss
8,12570001,12960000,-1,-1,Loss
8,12960000,12960001,-1,-1,Loss
8,12960001,13530000,-1,-1,Loss
8,13530000,13530001,-1,-1,Loss
8,13530001,16920000,-1,-1,Loss
8,16920000,16920001,-1,-1,Loss
8,16920001,16950001,-1,-1,Loss
8,16950001,17970000,-1,-1,Loss
8,17970000,17970001,-1,-1,Loss
8,17970001,18210000,-1,-1,Loss
8,18210000,18570000,-1,-1,Loss
8,18570000,18570001,-1,-1,Loss
8,18570001,18660000,-1,-1,Loss
8,18660000,19770000,-1,-1,Loss
8,19770000,20190000,-1,-1,Loss
8,20190000,20190001,-1,-1,Loss
8,20190001,20190001,-1,-1,Loss
8,20190001,20190001,-1,-1,Loss
8,20190001,21750000,-1,-1,Loss
8,21750000,21750000,-1,-1,Loss
8,21750000,21750000,-1,-1,Loss
8,21750000,21750001,-1,-1,Loss
8,21750001,22290001,-1,-1,Loss
8,22290001,22620000,-1,-1,Loss
8,22620000,24120001,-1,-1,Loss
8,24120001,26100000,-1,-1,Loss
8,26100000,26100001,-1,-1,Loss
8,26100001,27570000,-1,-1,Loss
8,27570000,27930001,-1,-1,Loss
8,27930001,28200001,-1,-1,Loss
8,28200001,28740001,-1,-1,Loss
8,28740001,29430000,-1,-1,Loss
8,29430000,29430001,-1,-1,Loss
8,29430001,30030000,-1,-1,Loss
8,30030000,30720000,-1,-1,Loss
8,30720000,30720001,-1,-1,Loss
8,30720001,31050000,-1,-1,Loss
8,31050000,31050001,-1,-1,Loss
8,31050001,32070000,-1,-1,Loss
8,32070000,33390001,-1,-1,Loss
8,33390001,34170000,-1,-1,Loss
8,55770001,56700000,-1,-1,Loss
8,57150001,59460000,-1,-1,Loss
8,60150001,61740000,-1,-1,Loss
8,61980001,66420000,-1,-1,Loss
9,137370001,138660000,-1,-2,Loss
15,78150001,78150001,-1,-2,Loss
15,78150001,78300000,-1,-2,Loss
15,78300000,78300000,-1,-2,Loss
16,29760001,29760001,1,1,Gain
16,29760001,31170000,1,1,Gain
16,31170000,31170001,1,1,Gain
16,31170001,31200000,1,1,Gain
16,31200000,31200000,1,1,Gain
16,34410001,35130000,-1,-2,Loss
16,35130000,46530001,-1,-2,Loss
16,46530001,48180000,-1,-2,Loss
16,48180000,48180001,-1,-2,Loss
16,48180001,48660001,-1,-2,Loss
16,48660001,48690001,-1,-2,Loss
16,48690001,48720000,-1,-2,Loss
16,48720000,48720001,-1,-2,Loss
16,48720001,49860000,-1,-2,Loss
16,49860000,50220000,-1,-2,Loss
16,50220000,50220001,-1,-2,Loss
16,50220001,50910000,-1,-2,Loss
16,50910000,52080000,-1,-2,Loss
16,52080000,52080001,-1,-2,Loss
16,52080001,52410000,-1,-2,Loss
16,52410000,52410001,-1,-2,Loss
16,52410001,52890001,-1,-2,Loss
16,52890001,53070000,-1,-2,Loss
16,53070000,53070001,-1,-2,Loss
16,53070001,54150000,-1,-2,Loss
16,54150000,54240000,-1,-2,Loss
16,54240000,54840000,-1,-2,Loss
16,54840000,54960000,-1,-2,Loss
16,54960000,54990001,-1,-2,Loss
16,54990001,55710001,-1,-2,Loss
16,55710001,56220001,-1,-2,Loss
16,56220001,56370000,-1,-2,Loss
16,56370000,56370001,-1,-2,Loss
16,56370001,56370001,-1,-2,Loss
16,56370001,56370001,-1,-2,Loss
16,56370001,57510000,-1,-2,Loss
16,57510000,57510001,-1,-2,Loss
16,57510001,57690000,-1,-2,Loss
16,57690000,57690001,-1,-2,Loss
16,57690001,57720000,-1,-2,Loss
16,57720000,57720000,-1,-2,Loss
16,57720000,57720000,-1,-2,Loss
16,57720000,60420000,-1,-2,Loss
16,64290001,65130000,-1,-2,Loss
16,65130000,65730000,-1,-2,Loss
16,65730000,65730000,-1,-2,Loss
16,65730000,65730000,-1,-2,Loss
16,65730000,65730001,-1,-2,Loss
16,65730001,66120001,-1,-2,Loss
16,66120001,66450000,-1,-2,Loss
16,66450000,66510000,-1,-2,Loss
16,66510000,66540001,-1,-2,Loss
16,66540001,66570000,-1,-2,Loss
16,66570000,66660001,-1,-2,Loss
16,66660001,67020001,-1,-2,Loss
16,67020001,67050000,-1,-2,Loss
16,67050001,68820001,-1,-1,Loss
16,68820001,68880001,-1,-1,Loss
16,68880001,69720000,-1,-1,Loss
16,69720000,69870000,-1,-1,Loss
16,69870000,69900000,-1,-1,Loss
16,69900000,69900000,-1,-1,Loss
16,69900000,69900000,-1,-1,Loss
16,69900000,69960000,-1,-1,Loss
16,69960000,70290001,-1,-1,Loss
16,70290001,70470000,-1,-1,Loss
16,70470000,70470001,-1,-1,Loss
16,70470001,70770000,-1,-1,Loss
16,70770001,70800001,-1,-2,Loss
16,70800001,70800001,-1,-2,Loss
16,70800001,70800001,-1,-2,Loss
16,70800001,71940000,-1,-2,Loss
16,71940000,72060000,-1,-2,Loss
16,72060000,72120001,-1,-2,Loss
16,72120001,73260001,-1,-2,Loss
16,73260001,74190000,-1,-2,Loss
16,74190000,74280000,-1,-2,Loss
16,74280000,75690001,-1,-2,Loss
16,75690001,79590001,-1,-2,Loss
16,79590001,79950001,-1,-2,Loss
16,79950001,82290001,-1,-2,Loss
16,82290001,82500000,-1,-2,Loss
16,82500000,82500001,-1,-2,Loss
16,82500001,82530000,-1,-2,Loss
16,82530000,82530001,-1,-2,Loss
16,82530001,83520000,-1,-2,Loss
16,83520000,83700000,-1,-2,Loss
16,83700000,83700001,-1,-2,Loss
16,83700001,84510000,-1,-2,Loss
16,84510000,85200000,-1,-2,Loss
16,85740001,85770001,-1,-2,Loss
16,85770001,85800000,-1,-2,Loss
16,85800000,85800001,-1,-2,Loss
16,85800001,85830000,-1,-2,Loss
16,85830000,85830001,-1,-2,Loss
16,85830001,85890001,-1,-2,Loss
16,85890001,87240000,-1,-2,Loss
16,87240000,87300000,-1,-2,Loss
16,87300000,90150000,-1,-2,Loss
17,1,32640001,-2,-2,Loss
17,32640001,43410000,-2,-2,Loss
17,43410000,43410001,-2,-2,Loss
17,43410001,43500000,-2,-2,Loss
17,43500000,43710001,-2,-2,Loss
17,43710001,81090000,-2,-2,Loss
