CHR,Overlap_Start,Overlap_End,Invasive_Value,Non_Invasive_Value,Region_Type
1,149040001,149040001,-1,-2,Loss
1,149040001,149160000,-1,-2,Loss
1,149160000,149160000,-1,-2,Loss
4,69180001,69840000,-2,-2,Loss
6,28500001,28680000,-2,-2,Loss
6,28680000,28680001,-2,-2,Loss
6,28680001,31080000,-2,-2,Loss
6,31080000,31080001,-2,-2,Loss
6,31080001,31440000,-2,-2,Loss
6,31440000,31470001,-2,-2,Loss
6,31470001,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
6,33270000,33270000,-2,-2,Loss
6,33270000,33270001,-2,-2,Loss
6,33270001,33270001,-2,-2,Loss
6,33270001,33270001,-2,-2,Loss
6,33270001,33300000,-2,-2,Loss
6,33300000,33300000,-2,-2,Loss
6,33300000,33300000,-2,-2,Loss
6,33300000,33330001,-2,-2,Loss
6,33330001,33330001,-2,-2,Loss
6,33330001,33330001,-2,-2,Loss
6,33330001,33360000,-2,-2,Loss
6,33360000,33360000,-2,-2,Loss
6,33360001,33360001,-1,-2,Loss
6,33360001,33390000,-1,-2,Loss
6,33390000,33390000,-1,-2,Loss
8,39240001,39390000,-1,-2,Loss
10,42840001,45120001,1,1,Gain
10,45120001,46110000,1,1,Gain
10,46110000,47580001,1,1,Gain
10,47580001,49560000,1,1,Gain
10,50520001,50730000,1,1,Gain
10,58410001,59880000,1,1,Gain
10,76350001,76620000,1,1,Gain
10,76620000,76740000,1,1,Gain
10,76740000,76770000,1,1,Gain
10,76770000,76770000,1,1,Gain
10,76770000,76770000,1,1,Gain
10,76770000,76980000,1,1,Gain
10,76980000,77010000,1,1,Gain
10,123240001,123780000,1,1,Gain
10,131940001,132030000,1,1,Gain
10,132030000,132030001,1,1,Gain
10,132030001,132060001,1,1,Gain
10,132060001,132270000,1,1,Gain
14,20190001,20280000,1,1,Gain
15,35070001,35130001,1,1,Gain
15,35130001,37110000,1,1,Gain
15,37110000,37890000,1,1,Gain
15,37890000,37890001,1,1,Gain
15,37890001,38190000,1,1,Gain
15,38190000,38190001,1,1,Gain
15,38190001,38250001,1,1,Gain
15,38250001,38310000,1,1,Gain
15,38310000,38310001,1,1,Gain
15,38310001,38340001,1,1,Gain
15,38340001,38400000,1,1,Gain
15,38400000,38400001,1,1,Gain
15,38400001,38700001,1,1,Gain
15,38700001,38790000,1,1,Gain
15,38790000,38790001,1,1,Gain
15,38790001,40740001,1,1,Gain
15,40740001,40830000,1,1,Gain
15,40830000,40830001,1,1,Gain
15,40830001,41610000,1,1,Gain
15,41610000,42060000,1,1,Gain
15,42060000,45090000,1,1,Gain
15,45090000,46020000,1,1,Gain
